1	скажите	сказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	0	root	_	@vvp1934m-words#@vvp1934m#1.725#2.242
413	врачу	врач	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	411	obl	_	@iavu1948f-words#@iavu1948f#121.157#121.432
414	и	и	CCONJ	_	_	415	cc	_	@iavu1948f-words#@iavu1948f#121.432#121.707
415	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	411	conj	_	@iavu1948f-words#@iavu1948f#121.707#121.982
416	/	/	PUNCT	_	_	419	punct	_	@iavu1948f-words#@iavu1948f#121.982#122.257
417	что	что	SCONJ	_	_	419	mark	_	@iavu1948f-words#@iavu1948f#122.257#122.532
418	вот	вот	PART	_	_	419	advmod	_	@iavu1948f-words#@iavu1948f#122.532#122.807
419	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	415	ccomp	_	@iavu1948f-words#@iavu1948f#122.807#123.082
420	такие	такой	DET	_	Case=Nom|Number=Plur	421	det	_	@iavu1948f-words#@iavu1948f#123.082#123.357
421	проблемы	проблема	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	419	nsubj	_	@iavu1948f-words#@iavu1948f#123.357#123.632
422	/	/	PUNCT	_	_	425	punct	_	@iavu1948f-words#@iavu1948f#123.632#123.907
423	и	и	CCONJ	_	_	425	cc	_	@iavu1948f-words#@iavu1948f#123.907#124.182
424	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	425	nsubj	_	@iavu1948f-words#@iavu1948f#124.182#124.457
425	должен	должен	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	410	conj	_	@iavu1948f-words#@iavu1948f#124.457#124.732
426	выписать	выписывать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	425	xcomp	_	@iavu1948f-words#@iavu1948f#124.732#125.007
427	нам	мы	PRON	_	Case=Dat|Number=Plur|Person=1	426	iobj	_	@iavu1948f-words#@iavu1948f#125.007#125.282
428	препарат	препарат	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	426	obj	_	@iavu1948f-words#@iavu1948f#125.282#125.557
429	/	/	PUNCT	_	_	432	punct	_	@iavu1948f-words#@iavu1948f#125.557#125.832
430	и	и	CCONJ	_	_	432	cc	_	@iavu1948f-words#@iavu1948f#125.832#126.107
431	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	432	nsubj	_	@iavu1948f-words#@iavu1948f#126.107#126.382
432	должны	должен	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	425	conj	_	@iavu1948f-words#@iavu1948f#126.382#126.657
433	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	434	obj	_	@iavu1948f-words#@iavu1948f#126.657#126.932
434	заявить	заявить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	432	xcomp	_	@iavu1948f-words#@iavu1948f#126.932#127.207
435	/	/	PUNCT	_	_	438	punct	_	@iavu1948f-words#@iavu1948f#127.207#127.482
436	и	и	CCONJ	_	_	438	cc	_	@iavu1948f-words#@iavu1948f#127.482#127.757
437	нам	мы	PRON	_	Case=Dat|Number=Plur|Person=1	438	iobj	_	@iavu1948f-words#@iavu1948f#127.757#128.032
438	должны	должен	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	432	conj	_	@iavu1948f-words#@iavu1948f#128.032#128.307
439	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	440	obj	_	@iavu1948f-words#@iavu1948f#128.307#128.582
440	дать	дать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	438	xcomp	_	@iavu1948f-words#@iavu1948f#128.582#128.857
441	или	или	CCONJ	_	_	443	cc	_	@iavu1948f-words#@iavu1948f#128.857#129.132
442	не	не	PART	_	_	443	advmod	_	@iavu1948f-words#@iavu1948f#129.132#129.407
443	дать	дать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	440	conj	_	@iavu1948f-words#@iavu1948f#129.407#129.7
444	а	а	CCONJ	_	_	449	cc	_	@iavu1948f-words#@iavu1948f#131.346#131.558
445	у	у	ADP	_	_	446	case	_	@iavu1948f-words#@iavu1948f#131.558#131.77
446	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	449	obl	_	@iavu1948f-words#@iavu1948f#131.77#131.982
447	этого	это	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	449	obl	_	@iavu1948f-words#@iavu1948f#131.982#132.194
448	не	не	PART	_	_	449	advmod	_	@iavu1948f-words#@iavu1948f#132.194#132.406
449	делается	делаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	443	xcomp	_	@iavu1948f-words#@iavu1948f#132.406#132.621
450	вот	вот	PART	_	_	451	advmod	_	@iavu1948f-words#@iavu1948f#133.628#133.942
451	сейчас	сейчас	ADV	_	Degree=Pos	449	advmod	_	@iavu1948f-words#@iavu1948f#133.942#134.256
452	/	/	PUNCT	_	_	455	punct	_	@iavu1948f-words#@iavu1948f#134.256#134.57
453	только	только	PART	_	_	455	advmod	_	@iavu1948f-words#@iavu1948f#134.57#134.884
454	после	после	ADP	_	_	455	case	_	@iavu1948f-words#@iavu1948f#134.884#135.198
455	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	449	obl	_	@iavu1948f-words#@iavu1948f#135.198#135.512
456	как	как	SCONJ	_	_	457	mark	_	@iavu1948f-words#@iavu1948f#135.512#135.826
457	произошел	произойти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	455	acl	_	@iavu1948f-words#@iavu1948f#135.826#136.14
458	этот	этот	DET	_	Case=Nom|Gender=Masc|Number=Sing	459	det	_	@iavu1948f-words#@iavu1948f#136.14#136.454
459	скандал	скандал	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	457	nsubj	_	@iavu1948f-words#@iavu1948f#136.454#136.768
460	/	/	PUNCT	_	_	457	punct	_	@iavu1948f-words#@iavu1948f#136.768#137.082
461	а	а	CCONJ	_	_	463	cc	_	@iavu1948f-words#@iavu1948f#137.082#137.396
462	эти	этот	DET	_	Case=Nom|Number=Plur	463	det	_	@iavu1948f-words#@iavu1948f#137.396#137.71
463	финны	финн	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	457	conj	_	@iavu1948f-words#@iavu1948f#137.71#138.024
464	/	/	PUNCT	_	_	467	punct	_	@iavu1948f-words#@iavu1948f#138.024#138.338
465	а	а	CCONJ	_	_	467	cc	_	@iavu1948f-words#@iavu1948f#138.338#138.652
466	эти	этот	DET	_	Case=Nom|Number=Plur	467	det	_	@iavu1948f-words#@iavu1948f#138.652#138.966
467	др...	др...	PROPN	_	Animacy=Anim|Case=Dat|Gender=Fem|Number=Sing	463	conj	_	@iavu1948f-words#@iavu1948f#138.966#139.28
468	/	/	PUNCT	_	_	469	punct	_	@iavu1948f-words#@iavu1948f#139.28#139.594
469	ээ	ээ	INTJ	_	_	471	parataxis	_	@iavu1948f-words#@iavu1948f#139.594#139.908
470	/	/	PUNCT	_	_	469	punct	_	@iavu1948f-words#@iavu1948f#139.908#140.222
471	байдарочники	байдарочник	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	467	appos	_	@iavu1948f-words#@iavu1948f#140.222#140.536
472	/	/	PUNCT	_	_	601	punct	_	@iavu1948f-words#@iavu1948f#140.536#140.85
473	а	а	CCONJ	_	_	601	cc	_	@iavu1948f-words#@iavu1948f#140.85#141.164
474	эти	этот	DET	_	Case=Nom|Number=Plur	475	det	_	@iavu1948f-words#@iavu1948f#141.164#141.478
475	гребцы	гребцы	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	601	nsubj	_	@iavu1948f-words#@iavu1948f#141.478#141.792
476	вот	вот	PART	_	_	477	advmod	_	@iavu1948f-words#@iavu1948f#141.792#142.106
477	эти	этот	DET	_	Case=Nom|Number=Plur	480	det	_	@iavu1948f-words#@iavu1948f#142.106#142.42
478	вот	вот	PART	_	_	480	advmod	_	@iavu1948f-words#@iavu1948f#142.42#142.734
479	о	о	ADP	_	_	480	case	_	@iavu1948f-words#@iavu1948f#142.734#143.048
480	которых	который	PRON	_	Case=Loc	482	obj	_	@iavu1948f-words#@iavu1948f#143.048#143.362
481	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	482	nsubj	_	@iavu1948f-words#@iavu1948f#143.362#143.676
482	говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	601	parataxis	_	@iavu1948f-words#@iavu1948f#143.676#143.99
483	/	/	PUNCT	_	_	482	punct	_	@iavu1948f-words#@iavu1948f#143.99#144.304
484	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	601	nsubj	_	@iavu1948f-words#@iavu1948f#144.304#144.618
485	же	же	PART	_	_	484	advmod	_	@iavu1948f-words#@iavu1948f#144.618#144.932
486	все	все	PRON	_	Animacy=Anim|Case=Nom|Number=Plur	487	nsubj	_	@iavu1948f-words#@iavu1948f#144.932#145.246
487	нюхают	нюхать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	484	parataxis	_	@iavu1948f-words#@iavu1948f#145.246#145.578
488	у	у	ADP	_	_	489	case	_	@iavu1948f-words#@iavu1948f#146.475#146.685
489	них	они	PRON	_	Case=Gen|Number=Plur|Person=3	487	obl	_	@iavu1948f-words#@iavu1948f#146.685#146.895
490	у	у	ADP	_	_	491	case	_	@iavu1948f-words#@iavu1948f#146.895#147.105
491	всех	весь	PRON	_	Animacy=Anim|Case=Gen|Number=Plur	487	obl	_	@iavu1948f-words#@iavu1948f#147.105#147.315
492	астма	астма	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	487	obl	_	@iavu1948f-words#@iavu1948f#147.315#147.525
493	астма	астма	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	492	nmod	_	@iavu1948f-words#@iavu1948f#148.657#149.36
494	у	у	ADP	_	_	495	case	_	@iavu1948f-words#@iavu1948f#150.589#150.908
495	всех	все	PRON	_	Animacy=Anim|Case=Gen|Number=Plur	492	nmod	_	@iavu1948f-words#@iavu1948f#150.908#151.227
496	/	/	PUNCT	_	_	499	punct	_	@iavu1948f-words#@iavu1948f#151.227#151.546
497	и	и	CCONJ	_	_	499	cc	_	@iavu1948f-words#@iavu1948f#151.546#151.865
498	у	у	ADP	_	_	499	case	_	@iavu1948f-words#@iavu1948f#151.865#152.184
499	гребцов	гребец	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	487	conj	_	@iavu1948f-words#@iavu1948f#152.184#152.503
500	и	и	CCONJ	_	_	508	cc	_	@iavu1948f-words#@iavu1948f#152.503#152.822
501	у	у	ADP	_	_	502	case	_	@iavu1948f-words#@iavu1948f#152.822#153.141
502	финнов	финн	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	508	obl	_	@iavu1948f-words#@iavu1948f#153.141#153.46
503	у	у	ADP	_	_	505	case	_	@iavu1948f-words#@iavu1948f#153.46#153.779
504	всех	весь	DET	_	Case=Gen|Number=Plur	505	det	_	@iavu1948f-words#@iavu1948f#153.779#154.098
505	астма	астма	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	508	obl	_	@iavu1948f-words#@iavu1948f#154.098#154.428
506	и	и	CCONJ	_	_	507	cc	_	@iavu1948f-words#@iavu1948f#154.8#155.129
507	всем	все	PRON	_	Animacy=Anim|Case=Dat|Number=Plur	508	iobj	_	@iavu1948f-words#@iavu1948f#155.129#155.458
508	дают	давать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	487	conj	_	@iavu1948f-words#@iavu1948f#155.458#155.787
509	/	/	PUNCT	_	_	510	punct	_	@iavu1948f-words#@iavu1948f#155.787#156.116
510	препараты	препарат	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	508	obj	_	@iavu1948f-words#@iavu1948f#156.116#156.445
511	которые	который	PRON	_	Case=Acc	510	nmod	_	@iavu1948f-words#@iavu1948f#156.445#156.774
512	/	/	PUNCT	_	_	515	punct	_	@iavu1948f-words#@iavu1948f#156.774#157.103
513	а	а	CCONJ	_	_	515	cc	_	@iavu1948f-words#@iavu1948f#157.103#157.432
514	наши	наш	DET	_	Case=Nom|Number=Plur	515	nsubj	_	@iavu1948f-words#@iavu1948f#157.432#157.761
515	должны	должен	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	487	conj	_	@iavu1948f-words#@iavu1948f#157.761#158.09
516	выигрывать	выиграть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	515	xcomp	_	@iavu1948f-words#@iavu1948f#158.09#158.419
517	без	без	ADP	_	_	518	case	_	@iavu1948f-words#@iavu1948f#158.419#158.748
518	них	они	PRON	_	Case=Gen|Number=Plur|Person=3	516	obl	_	@iavu1948f-words#@iavu1948f#158.748#159.077
519	?	?	PUNCT	_	_	515	punct	_	@iavu1948f-words#@iavu1948f#159.077#159.406
520	/	/	PUNCT	_	_	524	punct	_	@iavu1948f-words#@iavu1948f#159.406#159.735
521	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	524	parataxis	_	@iavu1948f-words#@iavu1948f#159.735#160.078
522	наверное	наверное	ADV	_	Degree=Pos	524	obl	_	@iavu1948f-words#@iavu1948f#160.417#160.687
523	тоже	тоже	PART	_	_	522	advmod	_	@iavu1948f-words#@iavu1948f#160.687#160.957
524	нужно	нужный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	515	conj	_	@iavu1948f-words#@iavu1948f#160.957#161.227
525	/	/	PUNCT	_	_	526	punct	_	@iavu1948f-words#@iavu1948f#161.227#161.497
526	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	528	parataxis	_	@iavu1948f-words#@iavu1948f#161.497#161.767
527	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	528	cop	_	@iavu1948f-words#@iavu1948f#161.767#162.037
528	зе...	зе...	PROPN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	524	obl	_	@iavu1948f-words#@iavu1948f#162.037#162.307
529	у	у	ADP	_	_	530	case	_	@iavu1948f-words#@iavu1948f#162.307#162.577
530	них	они	PRON	_	Case=Gen|Number=Plur|Person=3	532	obl	_	@iavu1948f-words#@iavu1948f#162.577#162.847
531	тоже	тоже	PART	_	_	532	advmod	_	@iavu1948f-words#@iavu1948f#162.847#163.117
532	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	528	conj	_	@iavu1948f-words#@iavu1948f#163.117#163.387
533	астма	астма	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	540	nsubj	_	@iavu1948f-words#@iavu1948f#163.387#163.657
534	/	/	PUNCT	_	_	533	punct	_	@iavu1948f-words#@iavu1948f#163.657#163.927
535	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	540	parataxis	_	@iavu1948f-words#@iavu1948f#163.927#164.197
536	быть	быть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	535	xcomp	_	@iavu1948f-words#@iavu1948f#164.197#164.467
537	у	у	ADP	_	_	538	case	_	@iavu1948f-words#@iavu1948f#164.467#164.737
538	них	они	PRON	_	Case=Gen|Number=Plur|Person=3	540	obl	_	@iavu1948f-words#@iavu1948f#164.737#165.007
539	тоже	тоже	PART	_	_	540	advmod	_	@iavu1948f-words#@iavu1948f#165.007#165.277
540	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	532	conj	_	@iavu1948f-words#@iavu1948f#165.277#165.547
541	астма	астма	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	540	nsubj	_	@iavu1948f-words#@iavu1948f#165.547#165.817
542	и	и	CCONJ	_	_	545	cc	_	@iavu1948f-words#@iavu1948f#165.817#166.087
543	им	он	PRON	_	Case=Dat|Number=Plur|Person=3	545	iobj	_	@iavu1948f-words#@iavu1948f#166.087#166.357
544	не	не	PART	_	_	545	advmod	_	@iavu1948f-words#@iavu1948f#166.357#166.627
545	дает	давать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	540	conj	_	@iavu1948f-words#@iavu1948f#166.627#166.897
546	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	547	obj	_	@iavu1948f-words#@iavu1948f#166.897#167.167
547	выиграть	выиграть	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	545	xcomp	_	@iavu1948f-words#@iavu1948f#167.167#167.437
548	/	/	PUNCT	_	_	551	punct	_	@iavu1948f-words#@iavu1948f#167.437#167.707
549	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	551	mark	_	@iavu1948f-words#@iavu1948f#167.707#167.977
550	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	549	fixed	_	@iavu1948f-words#@iavu1948f#167.977#168.247
551	должно	должен	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	545	parataxis	_	@iavu1948f-words#@iavu1948f#168.247#168.517
552	быть	быть	AUX	_	Aspect=Imp|VerbForm=Inf|Voice=Act	554	cop	_	@iavu1948f-words#@iavu1948f#168.517#168.787
553	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	554	nsubj	_	@iavu1948f-words#@iavu1948f#168.787#169.057
554	легально	легальный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	551	obl	_	@iavu1948f-words#@iavu1948f#169.057#169.327
555	/	/	PUNCT	_	_	557	punct	_	@iavu1948f-words#@iavu1948f#169.327#169.597
556	по	по	ADP	_	_	557	case	_	@iavu1948f-words#@iavu1948f#169.597#169.867
557	закону	закон	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	562	parataxis	_	@iavu1948f-words#@iavu1948f#169.867#170.137
558	/	/	PUNCT	_	_	557	punct	_	@iavu1948f-words#@iavu1948f#170.137#170.407
559	честно	честно	ADV	_	Degree=Pos	562	advmod	_	@iavu1948f-words#@iavu1948f#170.407#170.677
560	и	и	CCONJ	_	_	561	cc	_	@iavu1948f-words#@iavu1948f#170.677#170.947
561	порядочно	порядочно	ADV	_	Degree=Pos	559	conj	_	@iavu1948f-words#@iavu1948f#170.947#171.246
562	дали	дать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	571	xcomp	_	@iavu1948f-words#@iavu1948f#171.707#172.157
563	возможность	возможность	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	562	obj	_	@iavu1948f-words#@iavu1948f#172.157#172.607
564	принимать	принимать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	563	obl	_	@iavu1948f-words#@iavu1948f#172.607#173.057
565	какие-то	какой-то	DET	_	Case=Acc|Number=Plur	566	det	_	@iavu1948f-words#@iavu1948f#173.057#173.507
566	препараты	препарат	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	564	obj	_	@iavu1948f-words#@iavu1948f#173.507#173.957
567	/	/	PUNCT	_	_	568	punct	_	@iavu1948f-words#@iavu1948f#173.957#174.407
568	принимай	принимать	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	564	parataxis	_	@iavu1948f-words#@iavu1948f#174.407#174.857
569	/	/	PUNCT	_	_	568	punct	_	@iavu1948f-words#@iavu1948f#174.857#175.307
570	не	не	PART	_	_	571	advmod	_	@iavu1948f-words#@iavu1948f#175.307#175.757
571	дали	дать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	554	flat:foreign	_	@iavu1948f-words#@iavu1948f#175.757#176.207
572	/	/	PUNCT	_	_	573	punct	_	@iavu1948f-words#@iavu1948f#176.207#176.657
573	значит	значить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	571	parataxis	_	@iavu1948f-words#@iavu1948f#176.657#177.107
574	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	573	nsubj	_	@iavu1948f-words#@iavu1948f#177.107#177.557
575	/	/	PUNCT	_	_	576	punct	_	@iavu1948f-words#@iavu1948f#177.557#178.007
576	должен	должен	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	571	obl	_	@iavu1948f-words#@iavu1948f#178.007#178.457
577	работать	работать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	576	xcomp	_	@iavu1948f-words#@iavu1948f#178.457#178.907
578	на	на	ADP	_	_	580	case	_	@iavu1948f-words#@iavu1948f#178.907#179.357
579	своих	свой	DET	_	Case=Loc|Number=Plur	580	det	_	@iavu1948f-words#@iavu1948f#179.357#179.807
580	силах	сила	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur	577	obl	_	@iavu1948f-words#@iavu1948f#179.807#180.257
581	/	/	PUNCT	_	_	590	punct	_	@iavu1948f-words#@iavu1948f#180.257#180.707
582	вот	вот	PART	_	_	583	advmod	_	@iavu1948f-words#@iavu1948f#180.707#181.157
583	таким	такой	DET	_	Case=Ins|Gender=Masc|Number=Sing	584	det	_	@iavu1948f-words#@iavu1948f#181.157#181.607
584	образом	образ	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	590	obl	_	@iavu1948f-words#@iavu1948f#181.607#182.075
585	для	для	ADP	_	_	586	case	_	@iavu1948f-words#@iavu1948f#192.621#192.881
586	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	590	obl	_	@iavu1948f-words#@iavu1948f#192.881#193.141
587	конечно	конечно	ADV	_	Degree=Pos	590	parataxis	_	@iavu1948f-words#@iavu1948f#193.141#193.401
588	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	590	nsubj	_	@iavu1948f-words#@iavu1948f#193.401#193.661
589	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	590	cop	_	@iavu1948f-words#@iavu1948f#193.661#193.921
590	неожиданным	неожиданный	ADJ	_	Case=Ins|Degree=Pos|Gender=Neut|Number=Sing	597	obl	_	@iavu1948f-words#@iavu1948f#193.921#194.185
591	конечно	конечно	ADV	_	Degree=Pos	593	parataxis	_	@iavu1948f-words#@iavu1948f#194.796#195.183
592	/	/	PUNCT	_	_	591	punct	_	@iavu1948f-words#@iavu1948f#195.183#195.57
593	конечно	конечно	ADV	_	Degree=Pos	590	parataxis	_	@iavu1948f-words#@iavu1948f#195.57#195.957
594	/	/	PUNCT	_	_	593	punct	_	@iavu1948f-words#@iavu1948f#195.957#196.344
595	все	все	PART	_	_	596	advmod	_	@iavu1948f-words#@iavu1948f#196.344#196.731
596	так	так	ADV	_	Degree=Pos	597	advmod	_	@iavu1948f-words#@iavu1948f#196.731#197.118
597	радовались	радоваться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	576	conj	_	@iavu1948f-words#@iavu1948f#197.118#197.505
598	все	весь	PART	_	_	599	advmod	_	@iavu1948f-words#@iavu1948f#197.505#197.892
599	так	так	ADV	_	Degree=Pos	597	advmod	_	@iavu1948f-words#@iavu1948f#197.892#198.279
600	были	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	601	cop	_	@iavu1948f-words#@iavu1948f#198.279#198.666
601	счастливы	счастливый	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	471	conj	_	@iavu1948f-words#@iavu1948f#198.666#199.053
602	что	что	SCONJ	_	_	607	mark	_	@iavu1948f-words#@iavu1948f#199.053#199.44
603	/	/	PUNCT	_	_	602	punct	_	@iavu1948f-words#@iavu1948f#199.44#199.827
604	ээ	ээ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	607	nsubj	_	@iavu1948f-words#@iavu1948f#199.827#200.214
605	/	/	PUNCT	_	_	606	punct	_	@iavu1948f-words#@iavu1948f#200.214#200.601
606	Россия	Россия	PROPN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	604	nmod	_	@iavu1948f-words#@iavu1948f#200.601#200.988
607	выигрывает	выигрывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	599	conj	_	@iavu1948f-words#@iavu1948f#200.988#201.375
608	и	и	PART	_	_	609	advmod	_	@iavu1948f-words#@iavu1948f#201.375#201.762
609	эти	этот	DET	_	Case=Acc|Number=Plur	610	det	_	@iavu1948f-words#@iavu1948f#201.762#202.149
610	флаги	флаг	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	607	obj	_	@iavu1948f-words#@iavu1948f#202.149#202.536
611	и	и	CCONJ	_	_	614	advmod	_	@iavu1948f-words#@iavu1948f#202.536#202.923
612	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	614	nsubj	_	@iavu1948f-words#@iavu1948f#202.923#203.31
613	вообще	вообще	ADV	_	Degree=Pos	614	obl	_	@iavu1948f-words#@iavu1948f#203.31#203.697
614	такой	такой	DET	_	Case=Nom|Gender=Masc|Number=Sing	607	det	_	@iavu1948f-words#@iavu1948f#203.697#204.084
615	/	/	PUNCT	_	_	618	punct	_	@iavu1948f-words#@iavu1948f#204.084#204.471
616	ну	ну	PART	_	_	618	parataxis	_	@iavu1948f-words#@iavu1948f#204.471#204.858
617	действительно	действительно	ADV	_	Degree=Pos	618	advmod	_	@iavu1948f-words#@iavu1948f#204.858#205.245
618	были	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	614	conj	_	@iavu1948f-words#@iavu1948f#205.245#205.632
619	результаты	результат	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	618	nsubj	_	@iavu1948f-words#@iavu1948f#205.632#206.019
620	без	без	ADP	_	_	621	case	_	@iavu1948f-words#@iavu1948f#206.019#206.406
621	допинга	допинг	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	618	obl	_	@iavu1948f-words#@iavu1948f#206.406#206.793
622	прекрасные	прекрасный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	618	obl	_	@iavu1948f-words#@iavu1948f#206.793#207.18
623	/	/	PUNCT	_	_	627	punct	_	@iavu1948f-words#@iavu1948f#207.18#207.567
624	потому	потому	ADV	_	Degree=Pos	627	mark	_	@iavu1948f-words#@iavu1948f#207.567#207.954
625	что	что	SCONJ	_	_	624	fixed	_	@iavu1948f-words#@iavu1948f#207.954#208.341
